SampleName	Class
GTEX.1QP29.0326.SM.E6CQ4	GTEX Normal Adrenal Gland
GTEX.YB5E.0226.SM.5IFHI	GTEX Normal Adrenal Gland
GTEX.QCQG.0126.SM.48U27	GTEX Normal Adrenal Gland
GTEX.13W3W.1326.SM.5LU4T	GTEX Normal Adrenal Gland
GTEX.UJMC.0226.SM.4IHLH	GTEX Normal Adrenal Gland
GTEX.S341.0126.SM.4AD64	GTEX Normal Adrenal Gland
GTEX.1IDJU.0126.SM.CNNR2	GTEX Normal Adrenal Gland
GTEX.YF7O.0126.SM.5IFIR	GTEX Normal Adrenal Gland
GTEX.Q2AH.0126.SM.48U2B	GTEX Normal Adrenal Gland
GTEX.11DXY.1626.SM.5H12L	GTEX Normal Adrenal Gland
GTEX.ZTSS.0326.SM.5987M	GTEX Normal Adrenal Gland
GTEX.WHPG.1526.SM.4M1ZK	GTEX Normal Adrenal Gland
GTEX.13O1R.2326.SM.5IJF9	GTEX Normal Adrenal Gland
GTEX.ZLWG.0126.SM.4WWC5	GTEX Normal Adrenal Gland
GTEX.U3ZM.0226.SM.4DXTA	GTEX Normal Adrenal Gland
GTEX.Y114.0526.SM.4TT8V	GTEX Normal Adrenal Gland
GTEX.SUCS.0526.SM.4DM56	GTEX Normal Adrenal Gland
GTEX.XUZC.0226.SM.4BOO7	GTEX Normal Adrenal Gland
GTEX.Q2AI.0226.SM.48U1D	GTEX Normal Adrenal Gland
GTEX.1AMFI.0626.SM.731DR	GTEX Normal Adrenal Gland
GTEX.1HC8U.0226.SM.9WG7Q	GTEX Normal Adrenal Gland
GTEX.12BJ1.0526.SM.5FQUD	GTEX Normal Adrenal Gland
GTEX.R53T.0226.SM.48FEH	GTEX Normal Adrenal Gland
GTEX.ZZPU.1226.SM.5N9CK	GTEX Normal Adrenal Gland
GTEX.14BMU.0126.SM.5S2Q9	GTEX Normal Adrenal Gland
GTEX.11XUK.0126.SM.5CVLK	GTEX Normal Adrenal Gland
GTEX.S3XE.0126.SM.4AD4R	GTEX Normal Adrenal Gland
GTEX.OIZH.1326.SM.3NB1H	GTEX Normal Adrenal Gland
GTEX.15ER7.1126.SM.6M47F	GTEX Normal Adrenal Gland
GTEX.1F75I.0126.SM.9WPPW	GTEX Normal Adrenal Gland
